activity_id,name,description,type,course_id,laps,sport,sub_sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,moving_time,distance,cycles,avg_hr,max_hr,avg_rr,max_rr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,max_temperature,min_temperature,avg_temperature,start_lat,start_long,stop_lat,stop_long,hr_zones_method,hrz_1_hr,hrz_2_hr,hrz_3_hr,hrz_4_hr,hrz_5_hr,hrz_1_time,hrz_2_time,hrz_3_time,hrz_4_time,hrz_5_time
10450611378,Run,,uncategorized,,4,running,treadmill,3.1,0.0,"2023-02-05 11:01:06.000000","2023-02-05 11:23:53.000000",00:22:35.129000,00:22:35.129000,1.741684832464,1701.0,160,172,,,354,75,80,4.62598382293129,5.11363572586632,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:01:05.000000,00:01:46.469000,00:02:52.000000,00:16:49.993000,00:00:00.000000
10417744630,"Treadmill Running",,uncategorized,,2,running,treadmill,2.4,0.0,"2023-01-31 11:56:16.000000","2023-01-31 12:08:59.000000",00:12:30.551000,00:12:30.551000,1.00764660648,955.0,158,165,,,202,76,78,4.83401872586632,4.98836732266617,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:14.052000,00:00:21.000000,00:02:05.998000,00:09:49.498000,00:00:00.000000
10483725181,"Delhi - Run",,uncategorized,,4,running,generic,2.3,0.0,"2023-02-10 12:09:22.000000","2023-02-10 12:24:37.000000",00:15:07.364000,00:15:03.880000,1.236391986336,1094.0,155,170,,,208,72,82,4.92349608053398,6.61685656426811,85.3018374,252.6246723,260.6,,260.6,39.1084284894168,-84.6431685145944,39.104485893622,-84.6419471036643,max_heart_rate,99,119,139,158,178,00:00:10.000000,00:02:28.807000,00:00:57.001000,00:10:47.991000,00:00:00.000000
10436789647,"Treadmill Running",,uncategorized,,1,running,treadmill,1.5,0.0,"2023-02-03 10:57:59.000000","2023-02-03 11:11:10.000000",00:06:01.801000,00:06:01.801000,0.462666781808,443.0,145,156,,,89,74,77,4.60361448426437,4.90560082293129,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:27.390000,00:00:24.999000,00:05:09.412000,00:00:00.000000,00:00:00.000000
10278242382,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,0.8,0.0,"2023-01-09 20:59:26.000000","2023-01-09 21:15:27.000000",00:14:17.384000,00:14:17.384000,0.0,,115,137,,,152,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:06:29.195000,00:06:35.999000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10583010925,"Delhi - Run",,uncategorized,,4,running,generic,2.8,0.0,"2023-02-25 12:02:56.000000","2023-02-25 12:24:27.000000",00:21:15.355000,00:21:15.355000,1.776991144048,1603.0,157,170,,,308,75,79,5.01521074239731,5.61470933866692,206.6929137,180.4461945,260.6,,260.6,39.1084565687925,-84.6430092584342,39.1078027803451,-84.6403283905238,max_heart_rate,99,119,139,158,178,00:00:11.999000,00:00:51.708000,00:02:57.999000,00:16:12.984000,00:00:00.000000
10405230835,"Indoor Rowing",,uncategorized,,1,fitness_equipment,indoor_rowing,0.2,0.0,"2023-01-29 11:25:32.000000","2023-01-29 11:31:29.000000",00:05:05.935000,00:05:05.935000,0.0,123.0,110,121,,,43,24,26,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:04:21.416000,00:00:44.519000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10391911510,"Indoor Rowing",,uncategorized,,1,fitness_equipment,indoor_rowing,2.1,0.0,"2023-01-27 12:09:36.000000","2023-01-27 12:29:53.000000",00:20:04.313000,00:20:04.313000,0.0,573.0,137,155,,,262,29,36,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:05.003000,00:12:09.994000,00:07:49.316000,00:00:00.000000,00:00:00.000000
10536807637,"Treadmill Running",,uncategorized,,1,running,treadmill,2.2,0.0,"2023-02-18 12:03:52.000000","2023-02-18 12:16:31.000000",00:12:12.757000,00:12:12.757000,0.827181768864,914.0,145,161,,,173,75,77,4.9129514013295,4.48729370986557,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:26.000000,00:00:21.000000,00:09:59.292000,00:00:46.998000,00:00:00.000000
10295945600,Strength,,uncategorized,,1,fitness_equipment,strength_training,0.1,0.0,"2023-01-12 13:18:17.000000","2023-01-12 13:28:58.000000",00:10:34.706000,00:10:34.706000,0.0,11.0,90,109,,,62,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:01:20.478000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10556583052,"Delhi Running",,uncategorized,,1,running,generic,1.3,0.0,"2023-02-21 11:46:06.000000","2023-02-21 11:52:00.000000",00:05:48.804000,00:05:48.804000,0.461945991216,436.0,150,164,,,82,75,78,4.76691070986557,5.11363572586632,65.616798,78.7401576,260.6,,260.6,39.1053015366197,-84.6414317004383,39.1085333470255,-84.6431331429631,max_heart_rate,99,119,139,158,178,00:00:14.652000,00:00:34.002000,00:03:46.975000,00:01:13.175000,00:00:00.000000
10524198534,"Indoor Rowing",,uncategorized,,1,fitness_equipment,indoor_rowing,1.4,0.0,"2023-02-16 12:42:39.000000","2023-02-16 12:52:53.000000",00:10:07.006000,00:10:07.006000,0.0,275.0,134,146,,,129,27,29,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:07.999000,00:05:05.000000,00:04:47.497000,00:00:00.000000,00:00:00.000000
10483803157,"Delhi Walking",,uncategorized,,1,walking,generic,0.6,0.0,"2023-02-10 12:24:48.000000","2023-02-10 12:37:31.000000",00:12:37.383000,00:12:37.383000,0.533148917024,537.0,117,126,,,111,41,59,2.53444852426624,3.19434454826736,193.5695541,187.0078743,260.6,,260.6,39.1047065891325,-84.6419975627214,39.1085041780025,-84.6429999545217,max_heart_rate,99,119,139,158,178,00:06:07.701000,00:05:57.998000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10720592397,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,1.3,0.0,"2023-03-18 11:31:38.000000","2023-03-18 11:51:44.000000",00:20:01.615000,00:20:01.615000,0.0,,114,148,,,172,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:10:53.997000,00:02:50.001000,00:02:59.143000,00:00:00.000000,00:00:00.000000
10288820037,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,0.2,0.0,"2023-01-11 11:41:59.000000","2023-01-11 11:52:04.000000",00:09:55.487000,00:09:55.487000,0.0,,104,110,,,82,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:08:29.895000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10425605776,Run,,uncategorized,,3,running,treadmill,2.5,0.0,"2023-02-01 14:36:20.000000","2023-02-01 14:52:29.000000",00:15:58.181000,00:15:58.181000,1.174938374656,1156.0,151,168,,,233,72,79,4.41347483893204,5.05100125760269,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:01:58.850000,00:01:18.856000,00:02:57.001000,00:09:40.994000,00:00:00.000000
10278256274,Elliptical,,uncategorized,,1,fitness_equipment,elliptical,0.4,0.0,"2023-01-09 21:16:01.000000","2023-01-09 21:21:32.000000",00:04:26.671000,00:04:26.671000,0.0,187.0,117,130,,,52,38,56,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:01:48.672000,00:02:23.999000,00:00:00.000000,00:00:00.000000,00:00:00.000000
