day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-03-24,76.6,46.0,125.0,48.0,63.3,,00:23:00.000000,00:23:00.000000,00:00:00.000000,11707,118.0,0.0,0.0,08:13:00.000000,01:16:00.000000,33.0,3399.0,2613.0,786.0,,2820.0,2,191.0,0.0,100.0,0.0,5.0,,,13.0,23.0,11.0,76.0,5.0
2023-03-23,66.6,44.0,105.0,47.0,57.0,,00:00:00.000000,00:00:00.000000,00:00:00.000000,4963,44.0,0.0,0.0,07:42:00.000000,01:05:00.000000,31.0,2737.0,2613.0,124.0,0.0,2820.0,,,,100.0,,,,,13.0,23.0,11.0,81.0,5.0
2023-03-22,68.3,35.0,177.0,46.0,66.1,244.4,01:22:00.000000,00:12:00.000000,00:35:00.000000,7929,69.0,0.0,0.0,07:58:00.000000,02:01:00.000000,24.0,3354.0,2613.0,741.0,,2820.0,4,558.0,1.7,100.0,0.0,9.0,,,15.0,24.0,11.0,62.0,6.0
2023-03-21,72.4,46.0,169.0,48.0,60.8,243.6,00:45:00.000000,00:03:00.000000,00:21:00.000000,13393,118.0,0.0,0.0,08:01:00.000000,00:56:00.000000,28.0,3601.0,2608.0,993.0,0.0,2820.0,1,295.0,1.7,100.0,0.0,5.0,,,13.0,24.0,9.0,88.0,9.0
2023-03-20,59.3,45.0,91.0,47.0,61.3,242.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,505,4.0,0.0,0.0,09:46:00.000000,02:23:00.000000,20.0,2602.0,2599.0,3.0,0.0,2820.0,,,,100.0,,,90.0,85.0,13.0,24.0,11.0,88.0,11.0
2023-03-19,73.0,46.0,166.0,48.0,60.3,240.0,01:02:00.000000,00:02:00.000000,00:30:00.000000,14558,139.0,0.0,0.0,08:00:00.000000,00:34:00.000000,22.0,3357.0,2588.0,769.0,0.0,2820.0,1,471.0,2.7,100.0,0.0,7.0,93.0,85.0,13.0,25.0,9.0,68.0,5.0
2023-03-18,76.2,45.0,146.0,48.0,61.5,244.4,00:23:00.000000,00:17:00.000000,00:03:00.000000,11918,118.0,0.0,0.0,05:43:00.000000,00:27:00.000000,27.0,3631.0,2613.0,1018.0,0.0,2820.0,1,172.0,0.0,100.0,0.0,4.0,92.0,73.0,15.0,26.0,10.0,80.0,5.0
2023-03-17,88.4,57.0,117.0,52.0,65.5,,00:00:00.000000,00:00:00.000000,00:00:00.000000,10182,101.0,0.0,0.0,00:00:00.000000,00:00:00.000000,50.0,3436.0,2626.0,810.0,0.0,2820.0,,,,100.0,,,,,13.0,15.0,10.0,66.0,8.0
2023-03-16,63.9,40.0,154.0,45.0,59.4,,01:08:00.000000,00:02:00.000000,00:33:00.000000,7915,74.0,0.0,0.0,09:12:00.000000,01:06:00.000000,23.0,3136.0,2626.0,510.0,0.0,2820.0,1,476.0,2.7,100.0,0.0,7.0,91.0,80.0,14.0,28.0,11.0,89.0,29.0
2023-03-15,60.5,43.0,97.0,49.0,57.8,,00:00:00.000000,00:00:00.000000,00:00:00.000000,2529,22.0,0.0,0.0,04:14:00.000000,00:34:00.000000,23.0,2669.0,2626.0,43.0,0.0,2820.0,,,,100.0,,,,,15.0,26.0,11.0,85.0,16.0
